"Language","Glottocode","PC1","PC2"
"Chumash, Barbareño","barb1263",1.54929094852689,0.773399552196117
"Italian, Trapani","west2346",-3.44609515415824,0.843604618079798
"Italian, Catania",NA,-3.44609515415824,0.843604618079798
"Italian, Palermo","west2346",-3.44609515415824,0.843604618079798
"Serbo-Croatian","sout1528",-3.63518143666929,3.14400348167355
"Tzotzil","tzot1259",1.37863407441374,0.386473784364332
"Inanwatan","inan1242",1.5537517888693,0.896343924860428
"Moi","moii1235",2.17209070350786,0.826662540291506
"Tehit","tehi1237",2.17209070350786,0.826662540291506
"Sawu","sabu1255",-0.831572993512817,-1.40468256080088
"Lampung, Way Lima",NA,-1.36426838844811,-1.1995812835075
"Wandamen","wand1267",0.0476018802984535,-1.44910210173352
"Malay, Sri Lanka","sril1245",0.0476018802984535,-1.44910210173352
"Sinhala","sinh1246",-5.49185976287636,3.40964252931925
"Kam","kamm1249",1.99988355175156,0.406766055538673
"Zhuang (Central)","cent2009",1.99988355175156,0.406766055538673
"Khamti","kham1290",1.99988355175156,0.406766055538673
"Mlabri, Minor","miab1235",0.640547194693919,-0.248660804510234
"Kayah Li, Eastern","east2342",-0.715082098943681,-0.384692653388176
"Meithei","mani1292",-1.91328697068384,0.114545932046387
"Brahui","brah1256",1.64422842690342,0.3771116856095
"Nicobar, Car","carn1240",-0.100078027385225,-0.509108235174391
"Pacoh","paco1243",0.798770858259089,-0.196605985461019
"Mizo","lush1249",-1.11956750386649,-0.216747359487994
"Santali  (Santal)","sant1410",-2.80134022837232,-0.198124094471479
"Newar, Dolakha","east2773",-0.738223642322278,-0.362308262087151
"Nunggubuyu","nung1290",4.37093091034246,1.02065662301114
"Bininj Gun-Wok","gunw1252",4.37093091034246,1.02065662301114
"Gaagudju","gaga1251",4.85647055442225,0.555425599292356
"Lardil","lard1243",2.37859623146866,-0.0746429535569356
"Jaminjung","jami1236",3.7727324656504,0.665227126779131
"Tiwi","tiwi1244",4.16318338164401,1.74270567535683
"Gooniyandi","goon1238",3.20625516963751,0.68558441076083
"Hoocąk",NA,2.36795974876265,0.679897240333719
"Maung","maun1240",1.35378912832144,0.831359898597592
"Mara","mara1414",4.93502987637344,0.799203833821339
"Mursi","murs1242",4.2085135435045,1.22030702091592
"Burmese","nucl1310",-5.830420964468,3.38208498953558
"Twi","twii1234",-4.1006410158945,-0.663563307476699
"Dewoin","dewo1238",-1.04467516323358,-1.22833437868852
"Grebo","greb1257",-1.04467516323358,-1.22833437868852
"Nyabwa","nyab1255",-1.90908879691238,-1.30933963024714
"Klao","klao1243",-1.90956830814217,-1.33587848982404
"Krahn","west2488",-0.878477565109979,-1.30979495626393
"Wobé","weno1238",-1.90908879691238,-1.30933963024714
"Kabba","kaba1281",2.1348877758426,0.608349674315611
"Me’en","meen1242",1.7829684942471,1.39079443268216
"Ngiti","ngit1239",2.1348877758426,0.608349674315611
"Ma’di","madi1260",-0.96145562194581,0.067714773819622
"Eton","eton1253",-1.04467516323358,-1.22833437868852
"Kisi","kisi1243",-2.43800652835428,-1.09231857079349
"Supyire","supy1237",-1.90908879691238,-1.30933963024714
"Temne","timm1235",-2.73523012418601,-0.747817282224794
"Chechen","chec1245",-1.39152844728301,0.473878068786586
"Khvarshi","khva1239",1.36787197734556,0.389158965292544
"Godoberi","ghod1238",4.14985308932864,0.718388376647829
"Tsakhur","tsak1249",1.36787197734556,0.389158965292544
"Nama (khauan)","nama1265",3.09441369358166,1.93017212845802
"Tennet","tenn1246",0.0383237817327952,0.68302378954977
"Baale","bale254",4.2085135435045,1.22030702091592
"Chai","chai1252",1.77618571936543,1.38019703718826
"Pima Bajo","pima1248",4.16625112680345,0.710770924875966
"Yaqui","yaqu1251",2.76174597784606,0.297263961039251
"Dakota","dako1258",4.19175289246457,0.799820903162886
"Lakhota","lako1247",2.41492007219142,0.622277700172865
"Crow","crow1244",0.703444565214174,-0.394301329661336
"Stoney","ston1242",4.18814055989313,0.804253175482951
"Osage","osag1243",3.57800703744824,0.22505645108946
"Tutelo","tute1247",2.22363184501922,0.729103367072375
"Biloxi","bilo1248",2.22363184501922,0.729103367072375
"Huitoto","huit1251",0.891099823808169,0.565815842112127
"Bora","bora1263",3.93329396209017,0.773538032234036
"Cayuga","cayu1261",2.66505654885324,0.788993027212017
"Oneida","onei1249",2.66505654885324,0.788993027212017
"Enets","enet1250",1.65733381176896,0.0332593213233581
"Dime","dime1235",1.97032387938055,1.08137081003288
"Dahalo","daha1245",1.2233495070975,-0.0233511921617041
"Dhaasanac","daas1238",0.367312012607337,-0.0407200704060194
"Iraqw","iraq1241",-1.08685641591563,-0.523610902110362
"Tigre","tigr1277",-1.11008171272541,-0.100727784708619
"Amharic  (ambara)","amha1245",-4.14215769269126,3.99610581788292
"Alaba","alab1254",-1.11008171272541,-0.100727784708619
"Maale","male1284",0.438271040072603,1.12546670935609
"Koromfe","koro1298",-1.90908879691238,-1.30933963024714
"Hdi","hdii1240",-0.810745788478472,-0.241758336667836
"Kanuri","kanu1281",-0.420810909812912,0.77410397814605
"Hausa  (Kanawa)","haus1257",-2.45097606561457,0.531929675818689
"Kikuyu  (gekoyo)","kiku1240",-1.62561702089244,-1.78789193027736
"Kikuyu  (gekoyo)","kiku1240",-2.15665373568142,-1.98821908731666
