Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
Bahing,bahi1252,bahi1252,,,,496,5,Sino-Tibetan
Athpare,athp1241,athp1241,,,,496,6b,Sino-Tibetan
Motui Menba,Ø,Ø,,,,496,3,Sino-Tibetan
Rongpo,rong1264,rong1264,,,,496,6a,Sino-Tibetan
Sak,sakm1234,sakm1234,,,,496,6a,Sino-Tibetan
Phom,phom1236,phom1236,,,,496,5*,Sino-Tibetan
Nocte,noct1238,noct1238,,,,496,6a,Sino-Tibetan
Deori,deor1238,deor1238,,,,496,5*,Sino-Tibetan
Tangkhul,tang1336,tang1336,,,,496,5*,Sino-Tibetan
Zeme,zeme1240,zeme1240,,,,496,5*,Sino-Tibetan
Mao,maon1237,maon1237,,,,496,5*,Sino-Tibetan
Lotha Naga,loth1237,loth1237,,,,496,4,Sino-Tibetan
"Mongsen Ao, Mangmetong",Ø,Ø,,,,496, ,Sino-Tibetan
"Lakher, Mara",mara1382,mara1382,,,,496,4,Sino-Tibetan
"Lushai, Mizo",lush1249,lush1249,,,,496,4,Sino-Tibetan
"Lai, Hakha",haka1240,haka1240,,,,496,3,Sino-Tibetan
Thado,thad1238,thad1238,,,,496,5*,Sino-Tibetan
Darang,diga1241,diga1241,,,,496,6a*,Sino-Tibetan
Damu,damu1236,damu1236,,,,496,5*,Sino-Tibetan
Bokar,boka1249,boka1249,,,,496,5*,Sino-Tibetan
Ossetic  (Ossetian),osse1245,osse1245,,,,589,2,Indo-European
"Croatian, Split",Ø,Ø,,,,589, ,Indo-European
"Arabic, Khartoum",khar1296,khar1296,,,,375,3,Afro-Asiatic
Votic,voti1245,voti1245,,,,48,8b,Uralic
Ho,hooo1248,hooo1248,,,,156,5*,Austroasiatic
Khakas,khak1248,khak1248,,,,44,2,Turkic
Chulym,chul1246,chul1246,,,,44,8a,Turkic
Tofa,tofa1248,tofa1248,,,,44,8a,Turkic
Gta’,gata1239,gata1239,,,,156,6b,Austroasiatic
Sora,sora1254,sora1254,,,,156,5*,Austroasiatic
"Swahili, Interior Kenyan",Ø,Ø,,,,1433, ,Atlantic-Congo
Teso,teso1249,teso1249,,,,55,4,Nilotic
Tiriki,tiri1257,tiri1257,,,,1433,5,Atlantic-Congo
Bukusu,buku1249,buku1249,,,,1433,4,Atlantic-Congo
Wanga,wang1294,wang1294,,,,1433,4,Atlantic-Congo
Meru,meru1245,meru1245,,,,1433,4,Atlantic-Congo
Luganda,gand1255,gand1255,,,,1433,3,Atlantic-Congo
"English, Kenyan",keny1281,keny1281,,,,589, ,Indo-European
Teanu,tean1237,tean1237,,,,1277,7,Austronesian
Kxoe,kxoe1243,kxoe1243,,,,14,5,Khoe-Kwadi
Ts’ixa,tsix1234,tsix1234,,,,14,7,Khoe-Kwadi
Kuvale,kuva1244,kuva1244,,,,1433,6a,Atlantic-Congo
"Romani, Lovari Vlax",vlax1238,vlax1238,,,,589,6b,Indo-European
"Romani, Central",carp1235,carp1235,,,,589,6b,Indo-European
Bantayanon,bant1293,bant1293,,,,1277,6a*,Austronesian
Mon,monn1252,monn1252,,,,156,5,Austroasiatic
Tavoyan,tavao1242,tavao1242,,,,496,6a,Sino-Tibetan
Rakhine,rakh1245,rakh1245,,,,496,3,Sino-Tibetan
"Cebuano, Davao",dava1245,dava1245,,,,1277, ,Austronesian
Chahar,chah1241,chah1241,,,,16,6b,Mongolic-Khitan
"Tzotzil, Zinacantan",tzot1264,tzot1264,,,,33,6b*,Mayan
Barai,nucl1630,nucl1630,,,,8,5,Koiarian
Arrernte,aran1263,aran1263,,,,248,4,Pama-Nyungan
Kukatja,kuka1246,kuka1246,,,,248,6b,Pama-Nyungan
Serewen,Ø,Ø,,,,1277, ,Austronesian
Pom,pomm1237,pomm1237,,,,1277,6b,Austronesian
"Wamesa, Windesi",wind1244,wind1244,,,,1277,6b*,Austronesian
Upper Kuskokwim,uppe1438,uppe1438,,,,46,8a,Athabaskan-Eyak-Tlingit
Oroqen,oroq1238,oroq1238,,,,13,8a,Tungusic
Nenets (Tundra),nene1249,nene1249,,,,48,6b,Uralic
"Northern Kurdish, Zakho",zakn1242,zakn1242,,,,589,6b,Indo-European
Kwarandzyey,kora1291,kora1291,,,,10,7,Songhay
Edolo,edol1239,edol1239,,,,7,5,Bosavi
Dom,domm1246,domm1246,,,,316,5,Nuclear Trans New Guinea
Awar,awar1249,awar1249,,,,30,6b,Lower Sepik-Ramu
"Malay, East Javanese Peranakan",east2487,east2487,,,,1277,8a,Austronesian
"Kerinci, Pondok Tinggi",Ø,Ø,,,,1277, ,Austronesian
"Cantonese, Ipoh",Ø,Ø,,,,496, ,Sino-Tibetan
Kuuk Thaayorre,thay1249,thay1249,,,,248,6b,Pama-Nyungan
Burarra,bura1267,bura1267,,,,4,5*,Maningrida
Ndjébbana,djee1236,djee1236,,,,4,6b*,Maningrida
Gunwinggu,gunw1252,gunw1252,,,,12,6b,Gunwinyguan
Yolngu,sout3142,sout3142,,,,248,6a*,Pama-Nyungan
Kuku-Muminh,kuku1283,kuku1283,,,,248,9,Pama-Nyungan
Yir Yoront,yiry1245,yiry1245,,,,248,9,Pama-Nyungan
Sindhi,sind1272,sind1272,,,,589,2,Indo-European
"English, Milne Bay PNG",Ø,Ø,,,,589, ,Indo-European
Kuman,kuma1280,kuma1280,,,,316,6b,Nuclear Trans New Guinea
Mambai,mamb1294,mamb1294,,,,1277,6a*,Austronesian
"Arapesh, Bumbita",bumb1241,bumb1241,,,,55,6b,Nuclear Torricelli
Romei Onele,Ø,Ø,,,,55, ,Nuclear Torricelli
Bongu,bong1291,bong1291,,,,316,6a*,Nuclear Trans New Guinea
Jilim,jiji1241,jiji1241,,,,316,6a*,Nuclear Trans New Guinea
Male,male1291,male1291,,,,316, ,Nuclear Trans New Guinea
Nakanai,naka1262,naka1262,,,,1277,5*,Austronesian
Mehek,mehe1243,mehe1243,,,,36,5,Sepik
Hei’oho’,Ø,Ø,,,,55,7,Nuclear Torricelli
Nai,naii1241,naii1241,,,,2,5,Kwomtari-Nai
Ngalum,ngal1298,ngal1298,,,,316,6a*,Nuclear Trans New Guinea
"Tok Pisin, Vanimo",vani1248,vani1248,,,,589, ,Indo-European
Mocho,moch1257,moch1257,,,,33,8a,Mayan
Nahuatl (North Puebla),nort3202,nort3202,,,,69, ,Uto-Aztecan
"Malay, Sorong Papuan",Ø,Ø,,,,1277, ,Austronesian
Kadazan,kada1288,kada1288,,,,1277,6b,Austronesian
"Penan, Eastern",east2485,east2485,,,,1277,6b*,Austronesian
Bih  (rade),biha1246,biha1246,,,,1277,5*,Austronesian
"Arabic, Azazima Bedouin",Ø,Ø,,,,375, ,Afro-Asiatic
"English, Irish",iris1255,iris1255,,,,589, ,Indo-European
"Malay, Dobo",dobo1244,dobo1244,,,,1277,3,Austronesian
Nuaulu,nort2867,nort2867,,,,1277,6b*,Austronesian
Batuley,batu1258,batu1258,,,,1277,6b*,Austronesian
Kola,kola1285,kola1285,,,,1277,6a,Austronesian
Tause,taus1252,taus1252,,,,20,6a,Lakes Plain
Marori,moro1289,moro1289,,,,1,8b,Marori
Jivaro,shua1257,shua1257,,,,,5*,Chicham
Tapan,Ø,Ø,,,,1277, ,Austronesian
"Malay, Belitung",bang1370,bang1370,,,,1277,5*,Austronesian
"Malay, Kedah",keda1251,keda1251,,,,1277,3,Austronesian
"Malay, Satun",satu1239,satu1239,,,,1277,3,Austronesian
Fongbe,fonn1241,fonn1241,,,,1433,3,Atlantic-Congo
Sekani,seka1250,seka1250,,,,46,8a,Athabaskan-Eyak-Tlingit
"Kenyah, Lebo’ Vo’",Ø,Ø,,,,1277, ,Austronesian
"Kayan, Baram",bara1370,bara1370,,,,1277,6b,Austronesian
"Kayan, Rejang",reja1241,reja1241,,,,1277,6b,Austronesian
"Vietnamese, Danang",Ø,Ø,,,,156, ,Austroasiatic
"Penan, Western",west2563,west2563,,,,1277,6b,Austronesian
Kenga,keng1240,keng1240,,,,64,5*,Central Sudanic
"Daju, Dar Daju",dard1243,dard1243,,,,7,5*,Dajuic
Bolgo,bolg1251,bolg1251,,,,1433,5,Atlantic-Congo
Zan Gula,zang1249,zang1249,,,,1433,6a*,Atlantic-Congo
"Malay, Johor",Ø,Ø,,,,1277, ,Austronesian
"Tsonga, Changana",chan1318,chan1318,,,,1433,1,Atlantic-Congo
Tukudede,tuku1254,tuku1254,,,,1277,6a*,Austronesian
"North Frisian, Fering-Öömrang",Ø,Ø,,,,589, ,Indo-European
"North Frisian, Mooring (west)",west2910,west2910,,,,589,7,Indo-European
West Frisian,west2354,west2354,,,,589, ,Indo-European
Bobo,bobo1253,bobo1253,,,,75,6a*,Mande
"Swahili, Dar Es Salaam",Ø,Ø,,,,1433, ,Atlantic-Congo
Ritharngu,rita1239,rita1239,,,,248,7,Pama-Nyungan
Jalkunan,jalk1242,jalk1242,,,,75,7,Mande
Tamasheq,tama1365,tama1365,,,,375,5,Afro-Asiatic
Chilcotin,chil1280,chil1280,,,,46,7,Athabaskan-Eyak-Tlingit
Warrnambool,warr1290,warr1290,,,,248,10,Pama-Nyungan
Wambaya,nucl1328,nucl1328,,,,5,8a,Mirndi
Waray,wara1290,wara1290,,,,12,10,Gunwinyguan
Duuŋidjawu,waka1274,waka1274,,,,248,9,Pama-Nyungan
Wangkajunga,wang1288,wang1288,,,,248,5*,Pama-Nyungan
"Arrernte, Western",west2441,west2441,,,,248,5*,Pama-Nyungan
Wonnarua,wona1238,wona1238,,,,248,5*,Pama-Nyungan
Bandjalang,band1358,band1358,,,,248,9,Pama-Nyungan
Gidabal,gida1240,gida1240,,,,248,8a,Pama-Nyungan
Bidyara,bidy1243,bidy1243,,,,248,8b,Pama-Nyungan
Kaytetye,kayt1238,kayt1238,,,,248,6b,Pama-Nyungan
Ngaanyatjarra,ngga1240,ngga1240,,,,248,5*,Pama-Nyungan
Ngadjumaja,ngad1258,ngad1258,,,,248,9,Pama-Nyungan
Ngandi,ngan1295,ngan1295,,,,12,8b,Gunwinyguan
Bunganditj,bung1264,bung1264,,,,248,10,Pama-Nyungan
Dharumbal,dhar1248,dhar1248,,,,248,9,Pama-Nyungan
Dhanggati,dyan1250,dyan1250,,,,248,10,Pama-Nyungan
"Garrwa, Western",gara1269,gara1269,,,,2, ,Garrwan
Nyoongar,nyun1247,nyun1247,,,,248, ,Pama-Nyungan
Warndarang,wand1263,wand1263,,,,4,10,Mangarrayi-Maran
Manobo,mano1276,mano1276,,,,1277,5,Austronesian
"Kamchadal, Western",itel1242,itel1242,,,,7,8a,Chukotko-Kamchatkan
Kirghiz,kirg1242,kirg1242,,,,44,1,Turkic
Uyghur,uigh1240,uigh1240,,,,44,2,Turkic
Maranao,mara1404,mara1404,,,,1277,4,Austronesian
"Eskimo, St. Lawrence Island Yupik",cent2128,cent2128,,,,12,7,Eskimo-Aleut
"Eskimo, Kangiryuarmiut",Ø,Ø,,,,12,2,Eskimo-Aleut
"Inuktitut, North Baffin",baff1240,baff1240,,,,12,2,Eskimo-Aleut
Vaagri Boli,vaag1238,vaag1238,,,,589,6b*,Indo-European
Nihali,niha1238,niha1238,,,,1,6b,Nihali
Badaga,bada1257,bada1257,,,,80, ,Dravidian
"Tigre, Beni Amer",tigr1270,tigr1270,,,,375,4,Afro-Asiatic
Bonda,bond1245,bond1245,,,,156,6b*,Austroasiatic
Rapting,rapt1240,rapt1240,,,,316,6b*,Nuclear Trans New Guinea
Yoidik,yoid1240,yoid1240,,,,316,6a*,Nuclear Trans New Guinea
Rempi,remp1241,remp1241,,,,316,6b,Nuclear Trans New Guinea
Kare,kare1341,kare1341,,,,316,6b*,Nuclear Trans New Guinea
Girawa,muni1257,muni1257,,,,316,5*,Nuclear Trans New Guinea
Munit,guma1255,guma1255,,,,316,6a,Nuclear Trans New Guinea
Gumalu,gira1247,gira1247,,,,316,6a*,Nuclear Trans New Guinea
Bau,bauu1244,bauu1244,,,,316,6b,Nuclear Trans New Guinea
Bagupi,bagu1252,bagu1252,,,,316,7,Nuclear Trans New Guinea
Utu,utuu1240,utuu1240,,,,316,6a*,Nuclear Trans New Guinea
Garuh,nobo1238,nobo1238,,,,316,5,Nuclear Trans New Guinea
Kamba,wagi1249,wagi1249,,,,316,6b,Nuclear Trans New Guinea
Sileibi,sile1255,sile1255,,,,316,7,Nuclear Trans New Guinea
Pondoma,anam1247,anam1247,,,,316,6b,Nuclear Trans New Guinea
Moresada,more1258,more1258,,,,316,6b,Nuclear Trans New Guinea
Wadaginam,wada1263,wada1263,,,,316,6a*,Nuclear Trans New Guinea
Atemple,mand1241,mand1241,,,,316,8b,Nuclear Trans New Guinea
Emerum,apal1256,apal1256,,,,316,5*,Nuclear Trans New Guinea
Musak,musa1266,musa1266,,,,316,6b,Nuclear Trans New Guinea
Biyom,biyo1244,biyo1244,,,,316,6b*,Nuclear Trans New Guinea
Faita,fait1240,fait1240,,,,316,8b,Nuclear Trans New Guinea
Mugil,barg1252,barg1252,,,,316,6b,Nuclear Trans New Guinea
Bunabun,brem1238,brem1238,,,,316,6b,Nuclear Trans New Guinea
Korak,kora1296,kora1296,,,,316,6a*,Nuclear Trans New Guinea
Pila,maia1254,maia1254,,,,316,6a,Nuclear Trans New Guinea
Tani,maia1253,maia1253,,,,316,6b,Nuclear Trans New Guinea
Bepour,bepo1240,bepo1240,,,,316,6b*,Nuclear Trans New Guinea
Kowaki,kowa1245,kowa1245,,,,316,8b,Nuclear Trans New Guinea
Wanambre,wana1269,wana1269,,,,316,6a*,Nuclear Trans New Guinea
Abasakur,pall1244,pall1244,,,,316,6a,Nuclear Trans New Guinea
Yaben,yabe1255,yabe1255,,,,316,6a*,Nuclear Trans New Guinea
Yarawata,yara1250,yara1250,,,,316,8a,Nuclear Trans New Guinea
Parawen,para1307,para1307,,,,316,6b*,Nuclear Trans New Guinea
Bobangi,bang1354,bang1354,,,,1433,6a,Atlantic-Congo
Bure,bure1242,bure1242,,,,375,8b,Afro-Asiatic
Tangale,nucl1696,nucl1696,,,,375,6b,Afro-Asiatic
Nzadi,nzad1234,nzad1234,,,,1433,6a*,Atlantic-Congo
Busa,busa1253,busa1253,,,,75,5,Mande
Didinga,didi1258,didi1258,,,,11,5,Surmic
Rumanyo,diri1252,diri1252,,,,1433,4,Atlantic-Congo
G//ana,Ø,Ø,,,,14, ,Khoe-Kwadi
Angas,ngas1240,ngas1240,,,,375,5,Afro-Asiatic
Chip,mish1244,mish1244,,,,375,5,Afro-Asiatic
Ankwe,goem1240,goem1240,,,,375,6b*,Afro-Asiatic
Karekare,kare1348,kare1348,,,,375,6a*,Afro-Asiatic
Gera,gera1246,gera1246,,,,375,6b,Afro-Asiatic
Bole,nucl1695,nucl1695,,,,375,6a*,Afro-Asiatic
Ngamo,ngam1282,ngam1282,,,,375,6a*,Afro-Asiatic
Miiya/Miya,Ø,Ø,,,,375,6a*,Afro-Asiatic
Dira,Ø,Ø,,,,375, ,Afro-Asiatic
Burma,Ø,Ø,,,,375,6a*,Afro-Asiatic
Geji,geji1246,geji1246,,,,375,5,Afro-Asiatic
Buli,buli1260,buli1260,,,,375,5,Afro-Asiatic
Seya,saya1246,saya1246,,,,375,6a,Afro-Asiatic
Dwot,Ø,Ø,,,,375, ,Afro-Asiatic
Pəlci,polc1243,polc1243,,,,375,6b,Afro-Asiatic
Bade,bade1248,bade1248,,,,375,6b,Afro-Asiatic
Pi∂imdi,Ø,Ø,,,,375,6a*,Afro-Asiatic
Hwona,hwan1240,hwan1240,,,,375,6a*,Afro-Asiatic
Ga’anda,gaan1243,gaan1243,,,,375,4,Afro-Asiatic
Gabin,gabi1247,gabi1247,,,,375,4,Afro-Asiatic
Boka,boga1251,boga1251,,,,375,6a*,Afro-Asiatic
Bura,bura1292,bura1292,,,,375,6b,Afro-Asiatic
Cibak,ciba1236,ciba1236,,,,375,6a,Afro-Asiatic
"Margi, West",Ø,Ø,,,,375,8b,Afro-Asiatic
Ngwaxi,nggw1242,nggw1242,,,,375,6b*,Afro-Asiatic
Hildi,Ø,Ø,,,,375,6a*,Afro-Asiatic
Wamdiu,marg1266,marg1266,,,,375,6a*,Afro-Asiatic
"Higi, Nkafa",higi1242,higi1242,,,,375,5*,Afro-Asiatic
"Higi, Baza",Ø,Ø,,,,375,5,Afro-Asiatic
"Higi, Kamale",Ø,Ø,,,,375, ,Afro-Asiatic
"Higi, Ghye",hyaa1239,hyaa1239,,,,375,8a,Afro-Asiatic
"Higi, Futu",Ø,Ø,,,,375,5*,Afro-Asiatic
Fali Kiria,kiry1234,kiry1234,,,,375,6a*,Afro-Asiatic
Fali Gili,Ø,Ø,,,,375, ,Afro-Asiatic
Fali Jilbu,zizi1238,zizi1238,,,,375,6a,Afro-Asiatic
Fali Mucella,fail1287,fail1287,,,,375,6a,Afro-Asiatic
Njanye,nzan1240,nzan1240,,,,375,6b,Afro-Asiatic
Mwulyen,Ø,Ø,,,,375,5*,Afro-Asiatic
Bacama,baca1246,baca1246,,,,375,5*,Afro-Asiatic
Gudu,gudu1250,gudu1250,,,,375,6a*,Afro-Asiatic
Mandara,wand1278,wand1278,,,,375,5,Afro-Asiatic
Gələvda (Glavda),Ø,Ø,,,,375,6a*,Afro-Asiatic
Zəɣvana,Ø,Ø,,,,375, ,Afro-Asiatic
Gava,gava1244,gava1244,,,,375,6a*,Afro-Asiatic
Nakatsa,Ø,Ø,,,,375, ,Afro-Asiatic
Matakam,mata1239,mata1239,,,,375,3,Afro-Asiatic
Daba,nucl1683,nucl1683,,,,375,5,Afro-Asiatic
Massa  (masa),masa1322,masa1322,,,,375,5*,Afro-Asiatic
Banana,bana1305,bana1305,,,,375,5*,Afro-Asiatic
"Banana, Mousseye",muse1242,muse1242,,,,375,5*,Afro-Asiatic
Lame,lame1268,lame1268,,,,375,5*,Afro-Asiatic
"Lame, Peve",peve1243,peve1243,,,,375,5*,Afro-Asiatic
"Misme, Zime",herd1236,herd1236,,,,375,5*,Afro-Asiatic
Jaku,labi1245,labi1245,,,,1433,8a,Atlantic-Congo
"Jari, Nakogi",Ø,Ø,,,,1433, ,Atlantic-Congo
Bankala,bank1257,bank1257,,,,1433,6a*,Atlantic-Congo
Yingilum,Ø,Ø,,,,1433, ,Atlantic-Congo
Pare,asut1235,asut1235,,,,1433,6a,Atlantic-Congo
Tabwa,taab1238,taab1238,,,,1433,5*,Atlantic-Congo
Bete,west2489,west2489,,,,1433,5*,Atlantic-Congo
Bidiya,bidi1241,bidi1241,,,,1433,5*,Atlantic-Congo
Bijogo,bijo1239,bijo1239,,,,1433,6a*,Atlantic-Congo
"Fulfulde, Central-Eastern Niger",cent2018,cent2018,,,,1433,5*,Atlantic-Congo
Pulaar,pula1263,pula1263,,,,1433,5,Atlantic-Congo
Bagiro,furu1242,furu1242,,,,64,6a,Central Sudanic
Gade,gade1242,gade1242,,,,1433,6a*,Atlantic-Congo
Ngbandi,nort2774,nort2774,,,,1433, ,Atlantic-Congo
Ngbaka,ngba1292,ngba1292,,,,1433,5,Atlantic-Congo
Gua,guaa1238,guaa1238,,,,1433,6a*,Atlantic-Congo
Degema,dege1246,dege1246,,,,1433,6a*,Atlantic-Congo
Bakueri,mokp1239,mokp1239,,,,1433,6b*,Atlantic-Congo
East Limba,east2387,east2387,,,,1433,6b*,Atlantic-Congo
Lozi,lozi1239,lozi1239,,,,1433,4,Atlantic-Congo
"Italian, Calabrese",nort2612,nort2612,,,,589, ,Indo-European
Ik,ikkk1242,ikkk1242,,,,3,6a,Kuliak
Teke,teke1283,teke1283,,,,1433,6a,Atlantic-Congo
Tubu,tebu1238,tebu1238,,,,10,6a*,Saharan
Susu,susu1250,susu1250,,,,75,5*,Mande
Pokot,poko1263,poko1263,,,,55,5,Nilotic
Soninke,soni1259,soni1259,,,,75,5,Mande
Shi,shii1238,shii1238,,,,1433,5*,Atlantic-Congo
Senadi,ceba1235,ceba1235,,,,1433,5*,Atlantic-Congo
Mooré,moss1236,moss1236,,,,1433,3,Atlantic-Congo
Moro,moro1285,moro1285,,,,10,5,Heibanic
Mubi,mubi1246,mubi1246,,,,375,6a*,Afro-Asiatic
Nande,nand1264,nand1264,,,,1433,5*,Atlantic-Congo
"Tamazight, Central Atlas Ntifa",cent2194,cent2194,,,,375,6b,Afro-Asiatic
Arbore,arbo1245,arbo1245,,,,375,6a,Afro-Asiatic
Mbala,mbal1257,mbal1257,,,,1433,6a,Atlantic-Congo
Yaka,yaka1270,yaka1270,,,,1433,6a*,Atlantic-Congo
Konzo,konz1239,konz1239,,,,1433,4,Atlantic-Congo
Koyukon,koyu1237,koyu1237,,,,46,8b,Athabaskan-Eyak-Tlingit
Hare,hare1244,hare1244,,,,46,6b,Athabaskan-Eyak-Tlingit
"Mandarin, Northeast",nort3283,nort3283,,,,496,1,Sino-Tibetan
"Japanese, Akita",akit1240,akit1240,,,,15, ,Japonic
"Japanese, Kansai",kink1238,kink1238,,,,15, ,Japonic
Abaza,abaz1241,abaz1241,,,,5,5*,Abkhaz-Adyge
Buriat,buri1258,buri1258,,,,16,6a*,Mongolic-Khitan
Kashmiri,kash1277,kash1277,,,,589,2,Indo-European
"Raji, Jowshaqan",jows1234,jows1234,,,,589, ,Indo-European
Maanyan,maan1238,maan1238,,,,1277,6b*,Austronesian
Awjila,awji1241,awji1241,,,,375,8a,Afro-Asiatic
Ts’amakko,tsam1247,tsam1247,,,,375,5,Afro-Asiatic
Evenki,even1259,even1259,,,,13,6b,Tungusic
Alabama,alab1237,alab1237,,,,7,6b,Muskogean
Ahtna,ahte1237,ahte1237,,,,46,8a,Athabaskan-Eyak-Tlingit
Achumawi,achu1247,achu1247,,,,2,8b,Palaihnihan
"Abenaki, Western",aben1250,aben1250,,,,46,8b,Algic
Rapa Iti,Ø,Ø,,,,1277, ,Austronesian
Mangarava,mang1401,mang1401,,,,1277,7,Austronesian
Atsugewi,atsu1245,atsu1245,,,,2,9,Palaihnihan
Catawba,cata1286,cata1286,,,,18,9,Siouan
Atikamekw,atik1240,atik1240,,,,46,5,Algic
Kickapoo,kick1244,kick1244,,,,46,6b,Algic
Hopi,hopi1249,hopi1249,,,,69,6b,Uto-Aztecan
Wyandot,nucl1648,nucl1648,,,,11,9,Iroquoian
"Ojibwa, Minnesota",west1510,west1510,,,,46,7,Algic
Nisenan,nise1244,nise1244,,,,4,9,Maiduan
Mojave,moha1256,moha1256,,,,11,8a,Cochimi-Yuman
"Miwok, Plains",plai1259,plai1259,,,,11,9,Miwok-Costanoan
Luiseño,luis1254,luis1254,,,,69,9,Uto-Aztecan
Skiri Pawnee,pawn1254,pawn1254,,,,5,8b,Caddoan
Massachusett,wamp1249,wamp1249,,,,46,9,Algic
Cheyenne,chey1247,chey1247,,,,46,8a,Algic
Timucua,timu1245,timu1245,,,,1, ,Timucua
Wintu,wint1259,wint1259,,,,2,10,Wintuan
"Chehalis, Upper",cheh1245,cheh1245,,,,25,9,Salishan
Yana,nort2963,nort2963,,,,1, ,Yana
Yuki,yuki1244,yuki1244,,,,2,9,Yuki-Wappo
Teco,tekt1235,tekt1235,,,,33,6b,Mayan
Ixil,ixil1241,ixil1241,,,,33,4,Mayan
Achí,achi1256,achi1256,,,,33,6b,Mayan
Itzaj,itza1241,itza1241,,,,33,8a,Mayan
Mopan,mopa1243,mopa1243,,,,33,5*,Mayan
Chortí,chor1273,chor1273,,,,33,6b,Mayan
Maya Chontal,taba1266,taba1266,,,,33,6a,Mayan
Aguacatec,agua1252,agua1252,,,,33,4,Mayan
Quiché,kich1262,kich1262,,,,33,4,Mayan
Pokomchí,poqo1254,poqo1254,,,,33,4,Mayan
"Totonac, Upper Necaxa",uppe1275,uppe1275,,,,12,6b,Totonacan
Sacapultec,saca1238,saca1238,,,,33,7,Mayan
Sipacapa,sipa1247,sipa1247,,,,33,6b,Mayan
Uspantec,uspa1245,uspa1245,,,,33,5,Mayan
Pokomam,poqo1253,poqo1253,,,,33,6b,Mayan
Louisiana Creole,loui1240,loui1240,,,,589,8a,Indo-European
Guadeloupe Creole,guad1242,guad1242,,,,589,6a*,Indo-European
Saramaccan,sara1340,sara1340,,,,589,5,Indo-European
Michif,mich1243,mich1243,,,,46,8b,Algic
G||áná,Ø,Ø,,,,14, ,Khoe-Kwadi
Kuy,kuyy1240,kuyy1240,,,,156,6b,Austroasiatic
Gawwada,gaww1239,gaww1239,,,,375,4,Afro-Asiatic
Ceq Wong,chew1245,chew1245,,,,156,6b,Austroasiatic
Abau,abau1245,abau1245,,,,36,5,Sepik
Kopkaka,kopk1238,kopk1238,,,,316,6b*,Nuclear Trans New Guinea
"Indonesian, Palu",palu1254,palu1254,,,,1277, ,Austronesian
Wangkatja,pint1251,pint1251,,,,248,10,Pama-Nyungan
Alawa,alaw1244,alaw1244,,,,4,8b,Mangarrayi-Maran
Ngalia,warl1254,warl1254,,,,248,5*,Pama-Nyungan
Warlmanpa,warl1255,warl1255,,,,248,8b,Pama-Nyungan
Warumungu,waru1265,waru1265,,,,248,7,Pama-Nyungan
Kunbarlang,kunb1251,kunb1251,,,,12,7,Gunwinyguan
Nasal,nasa1239,nasa1239,,,,1277,6a,Austronesian
"Mandarin, Nanjing",nanj1234,nanj1234,,,,496, ,Sino-Tibetan
"Tashlhiyt, Ait Bu Gmaz",Ø,Ø,,,,375, ,Afro-Asiatic
Bom-Kim,bomk1234,bomk1234,,,,1433,8b,Atlantic-Congo
Nungon,yaum1237,yaum1237,,,,316,5,Nuclear Trans New Guinea
Taa,taaa1242,taaa1242,,,,8, ,Tuu
Nar-Phu,narp1239,narp1239,,,,496, ,Sino-Tibetan
Manange,guru1261,guru1261,,,,496,6b,Sino-Tibetan
Gurung,mana1288,mana1288,,,,496,6b,Sino-Tibetan
Palula,phal1254,phal1254,,,,589,5,Indo-European
Khowar,khow1242,khow1242,,,,589,3,Indo-European
Mantjiltjara,mart1256,mart1256,,,,248,5,Pama-Nyungan
Yanyuwa,yany1243,yany1243,,,,248,7,Pama-Nyungan
East Uvean,wall1257,wall1257,,,,1277,5,Austronesian
West Uvean,west2516,west2516,,,,1277,6b*,Austronesian
"English, South African",blac1271,blac1271,,,,589, ,Indo-European
Limola,lemo1243,lemo1243,,,,1277,6b,Austronesian
Kisa,kisa1263,kisa1263,,,,1433,4,Atlantic-Congo
Muduga,mudu1239,mudu1239,,,,80,5,Dravidian
Palenquero,pale1260,pale1260,,,,589,6b,Indo-European
Mendriq,minn1238,minn1238,,,,156,6b,Austroasiatic
Konni,konn1242,konn1242,,,,1433,5,Atlantic-Congo
Wawa,wawa1246,wawa1246,,,,75,6b,Mande
Badiaranke,bady1239,bady1239,,,,1433,6a,Atlantic-Congo
Chaha,chah1248,chah1248,,,,375,5,Afro-Asiatic
Lugbara,lugb1240,lugb1240,,,,64,4,Central Sudanic
Kinubi,nubi1253,nubi1253,,,,375,6b,Afro-Asiatic
Tigrinya,tigr1271,tigr1271,,,,375,3,Afro-Asiatic
Afrikaans,afri1274,afri1274,,,,589,1,Indo-European
Lulogori,Ø,Ø,,,,1433, ,Atlantic-Congo
Lunyala,Ø,Ø,,,,1433,5,Atlantic-Congo
Logooli,logo1258,logo1258,,,,1433,4,Atlantic-Congo
Olumarama,mara1392,mara1392,,,,1433,4,Atlantic-Congo
Tugen,tuge1241,tuge1241,,,,1433,6a,Atlantic-Congo
"Meru, Imenti",imen1238,imen1238,,,,1433,4,Atlantic-Congo
"Meru, Mwimbi",mwin1242,mwin1242,,,,1433,5,Atlantic-Congo
Kikongo,east2782,east2782,,,,1433,4,Atlantic-Congo
"Makhuwa, Enahara",makh1264,makh1264,,,,1433,5*,Atlantic-Congo
Kikamba,kamb1297,kamb1297,,,,1433,4,Atlantic-Congo
