Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
Rennellese,renn1242,renn1242,,,,1277,5,Austronesian
Anuta,anut1237,anut1237,,,,1277,8b,Austronesian
Moli,moli1247,moli1247,,,,1277,6a,Austronesian
Lau,lauu1247,lauu1247,,,,1277,5,Austronesian
Sa’a,saaa1240,saaa1240,,,,1277,5,Austronesian
Kwara’ae,kwar1239,kwar1239,,,,1277,5,Austronesian
Kri ,khap1242,khap1242,,,,156,8b,Austroasiatic
Maniq,tong1308,tong1308,,,,156,6a,Austroasiatic
Bodo,bodo1279,bodo1279,,,,496, ,Sino-Tibetan
Klamath,klam1254,klam1254,,,,1,9,Klamath-Modoc
Jingpho,jing1260,jing1260,,,,496,3,Sino-Tibetan
Sunwar,sunw1242,sunw1242,,,,496,6b,Sino-Tibetan
"Newari, Kathmandu",newa1246,newa1246,,,,496,4,Sino-Tibetan
Assamese,assa1263,assa1263,,,,589,2,Indo-European
Aimol,aimol1244,aimol1244,,,,496,6b*,Sino-Tibetan
Moshang,mosa1240,mosa1240,,,,496,5*,Sino-Tibetan
Dimasa,dima1251,dima1251,,,,496,5*,Sino-Tibetan
Mikir,karb1241,karb1241,,,,496,5*,Sino-Tibetan
Limbu,limb1266,limb1266,,,,496,6b,Sino-Tibetan
Limbum,limb1268,limb1268,,,,1433,5,Atlantic-Congo
Kaera,kaer1234,kaer1234,,,,23,6a*,Timor-Alor-Pantar
Watam,wata1253,wata1253,,,,30,6a,Lower Sepik-Ramu
Capiznon,capi129,capi129,,,,1277,6a*,Austronesian
Mian,mian1256,mian1256,,,,316,5,Nuclear Trans New Guinea
Sungwadia,mari1426,mari1426,,,,1277,6b,Austronesian
Dargwa,darg1241,darg1241,,,,34,4,Nakh-Daghestanian
Waropen,waro1242,waro1242,,,,1277,7,Austronesian
Bunun,bunu1267,bunu1267,,,,1277,5*,Austronesian
Yeresiam,ires1239,ires1239,,,,1277,7,Austronesian
Eipo,eipo1242,eipo1242,,,,316,6b*,Nuclear Trans New Guinea
Roti,roti1238,roti1238,,,,1277,6a,Austronesian
Italian Sign Language,ital1275,ital1275,,,,196,5,Sign Language
Chinese Sign Language,chin1283,chin1283,,,,196,5,Sign Language
Hong Kong Sign Language,hong1241,hong1241,,,,196,5,Sign Language
"Malay, Southeast Maluku",sout2890,sout2890,,,,1277, ,Austronesian
Fataluku,fata1247,fata1247,,,,23,6a*,Timor-Alor-Pantar
Yari,yari1235,yari1235,,,,55, ,Nuclear Torricelli
Ban Khor Sign Language,bank1251,bank1251,,,,196,6a,Sign Language
Australian Sign language,aust1271,aust1271,,,,196,5,Sign Language
Nicaraguan Sign Language,nica1238,nica1238,,,,196,5,Sign Language
Iwaidja,iwai1244,iwai1244,,,,4,6b,Iwaidjan Proper
Ngalkbun,ngal1292,ngal1292,,,,12,8b,Gunwinyguan
Lahu,lahu1253,lahu1253,,,,496,4,Sino-Tibetan
"Malay, Perak (1)",pera1255 ,pera1255 ,,,,1277, ,Austronesian
